Date,EW,GMV-Sample,GMV-CC,Cap-Weighted,GMV-Shrinkage
2010-01-01 00:00:00,,,,,
2010-02-01 00:00:00,,,,,
2010-03-01 00:00:00,,,,,
2010-04-01 00:00:00,,,,,
2010-05-01 00:00:00,,,,,
2010-06-01 00:00:00,,,,,
2010-07-01 00:00:00,,,,,
2010-08-01 00:00:00,,,,,
2010-09-01 00:00:00,,,,,
2010-10-01 00:00:00,,,,,
2010-11-01 00:00:00,,,,,
2010-12-01 00:00:00,,,,,
2011-01-01 00:00:00,,,,,
2011-02-01 00:00:00,,,,,
2011-03-01 00:00:00,,,,,
2011-04-01 00:00:00,,,,,
2011-05-01 00:00:00,,,,,
2011-06-01 00:00:00,,,,,
2011-07-01 00:00:00,,,,,
2011-08-01 00:00:00,,,,,
2011-09-01 00:00:00,,,,,
2011-10-01 00:00:00,,,,,
2011-11-01 00:00:00,,,,,
2011-12-01 00:00:00,,,,,
2012-01-01 00:00:00,,,,,
2012-02-01 00:00:00,,,,,
2012-03-01 00:00:00,,,,,
2012-04-01 00:00:00,,,,,
2012-05-01 00:00:00,,,,,
2012-06-01 00:00:00,,,,,
2012-07-01 00:00:00,,,,,
2012-08-01 00:00:00,,,,,
2012-09-01 00:00:00,,,,,
2012-10-01 00:00:00,,,,,
2012-11-01 00:00:00,,,,,
2012-12-01 00:00:00,,,,,
2013-01-01 00:00:00,0.06277547,0.041377143,0.043991683,0.013717876,0.039064424
2013-02-01 00:00:00,0.034928177,0.01558123,0.042341978,0.01253279,0.039345533
2013-03-01 00:00:00,0.032700203,0.006371231,0.03899061,0.011879611,0.031050923
2013-04-01 00:00:00,-0.002794202,0.010795053,0.031650636,0.010866152,0.02509993
2013-05-01 00:00:00,0.055000351,0.023396793,0.007126602,0.013483125,0.011684438
2013-06-01 00:00:00,-0.00873323,-0.042180335,-0.040599463,0.014790325,-0.045530761
2013-07-01 00:00:00,0.05576103,0.051120533,0.053379989,0.014596785,0.063072032
2013-08-01 00:00:00,0.011226766,-0.009668961,-0.009516681,0.014925183,-0.011044535
2013-09-01 00:00:00,0.013160793,0.001630897,-0.004305256,0.013235415,0.003061089
2013-10-01 00:00:00,0.040468773,0.023404525,0.050589418,0.013311645,0.042363881
2013-11-01 00:00:00,0.027233714,0.026026821,0.020468955,0.012848883,0.019610237
2013-12-01 00:00:00,0.015857589,0.002690692,-0.001692733,0.011884853,-0.000787921
2014-01-01 00:00:00,0.015363009,0.02122915,0.005829748,0.010739093,0.001861468
2014-02-01 00:00:00,-0.007534958,0.01997989,0.002709042,0.010799803,-0.004992176
2014-03-01 00:00:00,0.041041578,0.048437756,0.028806827,0.010218376,0.031874256
2014-04-01 00:00:00,-0.010103938,-0.010471728,0.009506255,0.009028061,0.001469901
2014-05-01 00:00:00,-0.008904147,0.022301355,0.005604336,0.009889834,0.012544097
2014-06-01 00:00:00,0.035346892,0.034687317,0.028303092,0.011597863,0.038296576
2014-07-01 00:00:00,-0.002064789,0.009225853,-0.006504506,0.011391018,-0.001591969
2014-08-01 00:00:00,-0.00783907,0.021461572,-0.019135111,0.014772864,-0.015019539
2014-09-01 00:00:00,0.008443937,0.00962994,0.011284636,0.016450789,0.008858268
2014-10-01 00:00:00,-0.035473116,-0.007349106,-0.002277302,0.013625407,0.001079887
2014-11-01 00:00:00,0.069447276,0.105032497,0.066517883,0.014223267,0.073689825
2014-12-01 00:00:00,0.003153797,0.010809249,0.020109585,0.014557679,0.018568239
2015-01-01 00:00:00,-0.008609288,0.015056853,0.002399792,0.012414033,0.003401219
2015-02-01 00:00:00,0.045732538,0.043590421,0.026995755,0.012584983,0.035251484
2015-03-01 00:00:00,0.014442222,0.01920527,0.01330728,0.012426196,0.019962014
2015-04-01 00:00:00,0.012643128,-0.00152736,0.004983826,0.012075206,0.002278667
2015-05-01 00:00:00,0.002595434,0.010445947,-0.007393718,0.014368921,-0.000179779
2015-06-01 00:00:00,0.010992576,0.02185685,0.01174753,0.013478543,0.009626262
2015-07-01 00:00:00,-0.017550172,-0.000658725,0.015279983,0.013526076,0.010023832
2015-08-01 00:00:00,-0.027017669,-0.012346025,0.021480076,0.011016283,0.018835842
2015-09-01 00:00:00,-0.041459166,-0.038763814,-0.029507314,0.00957881,-0.035333715
2015-10-01 00:00:00,0.025789694,0.046111558,0.031948909,0.011358852,0.029075904
2015-11-01 00:00:00,0.022747296,0.019666461,-0.007030751,0.011128337,-0.010670981
2015-12-01 00:00:00,-0.032014142,-0.003850227,-0.000508861,0.00936357,0.00265247
2016-01-01 00:00:00,-0.087789174,-0.056778323,-0.052603905,0.005756368,-0.043396295
2016-02-01 00:00:00,0.006517237,-0.009109897,0.016826214,0.005882938,0.009712008
2016-03-01 00:00:00,0.10246922,0.067359582,0.047389962,0.006907924,0.053887115
2016-04-01 00:00:00,0.037364626,0.017743374,0.01375417,0.00707165,0.016193017
2016-05-01 00:00:00,-0.001924028,-0.005941046,-0.001760356,0.007086503,-0.014142714
2016-06-01 00:00:00,0.025310738,0.011977639,0.013881529,0.007701872,0.017204927
2016-07-01 00:00:00,0.034986778,0.039409774,0.0247246,0.007169618,0.029782327
2016-08-01 00:00:00,0.026659704,-0.010541222,-0.008470916,0.00834704,-0.007677401
2016-09-01 00:00:00,-0.003629307,-0.0012265,0.008356542,0.006717797,0.005385965
2016-10-01 00:00:00,-0.012385267,-0.023070547,0.001450436,0.004939572,-0.006219351
2016-11-01 00:00:00,0.046316498,0.034657457,0.048298131,0.006788964,0.041418163
2016-12-01 00:00:00,0.069475141,0.032899016,0.060951997,0.006536399,0.039703483
2017-01-01 00:00:00,0.006905166,0.015617748,0.026981411,0.007590865,0.023254348
2017-02-01 00:00:00,0.023603748,0.029918312,0.04273667,0.006967941,0.036137138
2017-03-01 00:00:00,-2.92666E-05,0.018173143,0.023411761,0.006748269,0.022590483
2017-04-01 00:00:00,0.001973451,-0.007199769,-0.011575415,0.007414235,-0.005738825
2017-05-01 00:00:00,0.00693083,-0.023377468,0.003042766,0.006785676,0.005293279
2017-06-01 00:00:00,0.015840801,-0.019843453,0.024673302,0.006080481,0.014853027
2017-07-01 00:00:00,0.013906646,-0.011789353,0.006156407,0.00751014,-0.000340431
2017-08-01 00:00:00,-0.020600362,-0.013358593,0.006472553,0.005672684,-0.005840474
2017-09-01 00:00:00,0.023760822,-0.029746535,-0.035753711,0.008014737,-0.037093048
2017-10-01 00:00:00,0.038759055,0.01207351,0.024629822,0.007653145,0.021759624
2017-11-01 00:00:00,0.012790659,0.030169425,0.0084916,0.008154776,0.020320883
2017-12-01 00:00:00,0.035337908,0.043388194,0.004672784,0.007986215,0.017044328
2018-01-01 00:00:00,0.034742567,0.002182595,-0.007807325,0.009098308,0.00094124
2018-02-01 00:00:00,-0.042959367,-0.036571043,-0.012396625,0.006445361,-0.021673539
2018-03-01 00:00:00,0.010487893,0.024326756,0.014155812,0.006333638,0.014691873
2018-04-01 00:00:00,-0.011609153,-0.003289853,0.010245812,0.006674718,0.007278846
2018-05-01 00:00:00,0.02289908,0.020852736,-3.79243E-06,0.007318934,0.015306766
2018-06-01 00:00:00,0.032798034,0.017956373,0.004989186,0.007803639,0.015454669
2018-07-01 00:00:00,0.006254272,0.001890318,0.019210848,0.008257446,0.022085729
2018-08-01 00:00:00,0.013752344,-0.003742434,0.032178877,0.01069235,0.028573971
2018-09-01 00:00:00,0.00519803,0.016012292,0.015949252,0.011288665,0.014182447
2018-10-01 00:00:00,-0.071791793,-0.04392626,-0.039329491,0.007074771,-0.041554938
2018-11-01 00:00:00,-0.007066902,-0.006036507,0.009280009,0.007562176,0.014163946
2018-12-01 00:00:00,-0.079453877,-0.031297997,-0.020903511,0.005575678,-0.023679761
2019-01-01 00:00:00,0.034450606,0.010945446,-0.008690434,0.010060038,0.001417676
2019-02-01 00:00:00,0.076042702,0.066267167,0.050076598,0.010847397,0.056515246
2019-03-01 00:00:00,-0.000185265,0.006559451,0.014878022,0.00833202,0.014801457
2019-04-01 00:00:00,0.031647525,0.025520595,0.008975032,0.009106527,0.017282761
2019-05-01 00:00:00,-0.027163902,0.000220836,0.015264497,0.00625119,0.011740839
2019-06-01 00:00:00,-0.002351103,-0.001929999,0.021750314,0.008258409,0.016319463
2019-07-01 00:00:00,0.029065704,0.030689303,0.015409613,0.007392591,0.02073549
2019-08-01 00:00:00,-0.047934133,0.001778704,-0.004755864,0.006090307,-0.011566901
2019-09-01 00:00:00,0.044269251,0.024941287,0.027746163,0.007113706,0.024877077
2019-10-01 00:00:00,-0.002554592,-0.028367524,0.001292644,0.008165075,-0.009232848
2019-11-01 00:00:00,0.044953805,0.000455718,-0.010087219,0.006770678,-0.002902108
2019-12-01 00:00:00,0.017046738,0.007824431,0.003393972,0.006937024,0.007173508
